white,WHITE,white
yellow,YELLOW,yellow
blue,BLUE,blue
red,RED,red
green,GREEN,green
black,BLACK,black
brown,BROWN,brown
azure,AZURE,azure
ivory,IVORY,ivory
teal,TEAL,teal
silver,SILVER,silver
purple,PURPLE,purple
gray,GRAY,gray
orange,ORANGE,orange
maroon,MAROON,maroon
charcoal,CHARCOAL,charcoal
aquamarine,AQUAMARINE,aquamarine
coral,CORAL,coral
fuchsia,FUCHSIA,fuchsia
wheat,WHEAT,wheat
lime,LIME,lime
crimson,CRIMSON,crimson
khaki,KHAKI,khaki
magenta,MAGENTA,magenta
olden,OLDEN,olden
plum,PLUM,plum
olive,OLIVE,olive
cyan,CYAN,cyan